"LTREB_Tag_2019","LTREB_Tag_2014","Old_Tag","Species","Plot_ID","Outside_Historic_Plot","Measure_Year","Date","Distance","Azimuth","Status","Origin_Year","Years_Standing","DBH","As_Class","AGB","Estimated_Height","Notes"
NA,NA,"601A","ACSA","BS34A","N","1982",NA,NA,NA,NA,1879,103,4.1,"N",4.5,NA,NA
NA,NA,"98","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"111","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"131","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"137","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"139","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"234","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"238","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"253","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"350","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"362","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"436","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"459","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"482","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"483","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"494","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"499","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"500","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"521","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"527","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"640","ACSA","BS34A","N","1934",NA,NA,NA,NA,1879,55,4.3,"N",5.2,NA,NA
NA,NA,"90","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"130","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"180","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"184","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"215","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
